Site,Point.ID,Date,Survey.number,Species - Scientific Name,Species - 4-letter Code,Count,Distance,Detected By,,,,,,,,,
Juncos,5373-2,01/20/18,3,Quiscalus niger,GAGR,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Quiscalus niger,GAGR,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Patagioenas squamosa,SNPI,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Coereba flaveola,BANA,2,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,3,Tiaris bicolor,BFGR,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Tyrannus dominicensis,GRAK,1,>50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Tyrannus dominicensis,GRAK,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Quiscalus niger,GAGR,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Mimus polyglottos,NOMO,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Tyrannus dominicensis,GRAK,1,11-25,Sight (Visto),MOVE,,,,,,,,
Juncos,5373-2,01/20/18,4,Coereba flaveola,BANA,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-2,01/20/18,4,Setophaga americana,NOPA,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Coereba flaveola,BANA,2,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Tiaris bicolor,BFGR,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Setophaga americana,NOPA,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Mimus polyglottos,NOMO,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Tyrannus dominicensis,GRAK,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Quiscalus niger,GAGR,2,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,1,Mimus polyglottos,NOMO,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Quiscalus niger,GAGR,3,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Zenaida asiatica,WWDO,2,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Mimus polyglottos,NOMO,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Tyrannus dominicensis,GRAK,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Coereba flaveola,BANA,1,26-50,Sight (Visto),,,,,,,,,
